Transaction ID,Date,Customer Name,Product Category,Product Name,Quantity,Price,Total Amount,Payment Method,Country
9493,,Maria Lopez,Vegetables,Banana,2,15.0,49.77,,INDIA
9329,,Jane Smith,Electronics,Laptop,1,15.0,430.6,Credit Card,USA
9404,12/11/2024,,Fruits,Apple,10,15.0,463.41,CASH,INDIA
3700,"Dec 11, 2024",Maria Lopez,Electronics,Laptop,2,20.0,,Credit Card,
3676,2024-12-10,Maria Lopez,Electronics,Laptop,1,20.0,413.77,CASH,
6973,2024-12-10,Jane Smith,Vegetables,Tomato,10,8,163.18,CASH,India
4243,"Dec 11, 2024",,Electronics,Laptop,Five,,405.98,,United States
1210,2024-12-10,John Doe,Fruits,Apple,1,15 USD,361.98,Debit,USA
2551,,Ali Khan,Fruits,Apple,Five,10.5,459.08,Debit,
4077,2024/12/09,Ali Khan,Electronics,Laptop,10,20.0,428.84,CASH,India
5626,,Maria Lopez,Fruits,Apple,,20.0,84.59,CASH,Germany
3304,"Dec 11, 2024",,Clothing,Shirt,Five,15 USD,106.57,Credit Card,India
8112,2024/12/09,Ali Khan,Electronics,Laptop,10,8,56.68,CASH,
6642,2024-12-10,John Doe,Vegetables,Tomato,,8,272.97,Cash,U.S.A.
2816,2024-12-10,Wei Zhang,Fruits,Apple,1,,460.11,Cash,United States
9669,,,Fruits,Apple,2,10.5,232.22,Credit Card,USA
1720,12/11/2024,,Fruits,Apple,Five,15 USD,478.62,Cash,U.S.A.
1643,12/11/2024,,Household,Table,10,15.0,68.95,Paypal,India
2848,12/11/2024,Ali Khan,Household,Table,,8,,Debit,U.S.A.
4946,2024-12-10,,Vegetables,Tomato,,15 USD,137.37,Credit Card,Germany
6786,2024/12/09,,Vegetables,Tomato,3,15.0,151.9,Credit Card,United States
2792,"Dec 11, 2024",Maria Lopez,,,Five,15 USD,448.56,Paypal,INDIA
7623,,Ali Khan,,,,20.0,305.0,Credit Card,China
3605,2024-12-10,Maria Lopez,Clothing,Shirt,2,8,33.19,Debit,Germany
7146,"Dec 11, 2024",Wei Zhang,Household,Table,Five,15 USD,,Paypal,Germany
3154,,,,,10,8,204.63,CASH,Germany
8799,,Wei Zhang,Electronics,Laptop,Five,15.0,470.5,Credit Card,INDIA
8915,,Ali Khan,Household,Table,,8,58.44,CASH,United States
8066,2024/12/09,Maria Lopez,Electronics,Table,1,,335.47,,United States
8983,2024/12/09,Maria Lopez,Clothing,Shirt,10,20.0,413.18,CASH,INDIA
9908,2024/12/09,John Doe,Electronics,Laptop,1,10.5,39.32,Paypal,China
9774,2024-12-10,Jane Smith,,,3,8,302.54,Paypal,
3922,12/11/2024,Maria Lopez,,,10,15.0,68.38,,U.S.A.
3528,12/11/2024,Wei Zhang,Electronics,Table,,15 USD,73.3,,United States
9284,2024/12/09,John Doe,Vegetables,Tomato,,10.5,470.98,Credit Card,Germany
7593,,Maria Lopez,Fruits,Apple,1,10.5,438.4,,India
4089,,,,,Five,,261.39,Debit,India
4899,2024/12/09,Wei Zhang,Clothing,Shirt,Five,10.5,206.78,Paypal,
6768,2024-12-10,John Doe,Vegetables,Tomato,10,20.0,131.75,Debit,Germany
6826,"Dec 11, 2024",Ali Khan,Vegetables,Tomato,Five,20.0,117.75,Debit,United States
0,2024/12/09,Maria Lopez,Household,Table,2,8,148.33,Cash,USA
9271,12/11/2024,Jane Smith,Electronics,Laptop,2,,118.0,Debit,INDIA
5368,2024/12/09,Maria Lopez,Clothing,Shirt,2,8,,,
8773,2024-12-10,Wei Zhang,Electronics,Laptop,Five,8,386.19,CASH,U.S.A.
1380,2024/12/09,Wei Zhang,Vegetables,Tomato,,8,,CASH,Germany
6350,12/11/2024,,Vegetables,Tomato,1,15 USD,145.08,Debit,USA
5992,,Jane Smith,Vegetables,Tomato,3,15.0,,Paypal,U.S.A.
9060,"Dec 11, 2024",Maria Lopez,Electronics,Laptop,,15.0,,,India
4791,12/11/2024,Ali Khan,Vegetables,Tomato,3,10.5,485.04,,United States
3060,12/11/2024,Maria Lopez,Vegetables,Tomato,2,20.0,83.78,Credit Card,INDIA
4223,"Dec 11, 2024",John Doe,Fruits,Apple,10,8,71.53,Cash,USA
2703,12/11/2024,,,,3,15.0,,CASH,INDIA
5523,,,Electronics,Laptop,10,10.5,331.4,Cash,INDIA
5693,12/11/2024,Wei Zhang,Fruits,Apple,Five,15.0,317.0,Debit,INDIA
5035,12/11/2024,Ali Khan,Clothing,Shirt,2,10.5,22.85,CASH,China
5198,2024/12/09,,Electronics,Laptop,1,8,22.69,Paypal,U.S.A.
4412,2024-12-10,,Household,Table,10,8,110.6,,India
2434,2024/12/09,,Vegetables,Tomato,10,15.0,188.16,Cash,China
7908,2024-12-10,Jane Smith,,,10,15 USD,215.81,Credit Card,China
5003,,John Doe,Electronics,Laptop,3,10.5,344.31,Debit,
8898,12/11/2024,John Doe,Electronics,Laptop,Five,10.5,28.12,Credit Card,
0,12/11/2024,Wei Zhang,,,2,8,140.88,,U.S.A.
6193,,Ali Khan,Household,Table,2,20.0,315.44,,INDIA
9733,"Dec 11, 2024",Jane Smith,Household,Table,Five,15.0,15.85,Paypal,U.S.A.
4149,,,Fruits,Apple,1,,14.44,Cash,China
8923,12/11/2024,Maria Lopez,Vegetables,Tomato,Five,15 USD,438.55,Debit,China
7591,12/11/2024,John Doe,Vegetables,Tomato,10,15.0,165.39,Paypal,India
1298,,John Doe,Clothing,Shirt,10,15 USD,273.55,Paypal,USA
6104,,Wei Zhang,Electronics,Laptop,Five,20.0,427.89,Debit,USA
3910,,,Vegetables,Tomato,3,15.0,243.34,Cash,U.S.A.
4875,2024/12/09,Wei Zhang,Vegetables,Tomato,1,15 USD,96.29,Paypal,INDIA
8520,2024/12/09,John Doe,Household,Table,Five,,129.53,,China
4761,"Dec 11, 2024",Jane Smith,Clothing,Shirt,,8,,Cash,Germany
6191,"Dec 11, 2024",Maria Lopez,,,10,20.0,488.46,Cash,Germany
5926,2024-12-10,Maria Lopez,Household,Table,,,,Paypal,Germany
1037,2024-12-10,,Fruits,Apple,,15 USD,397.27,,United States
3332,"Dec 11, 2024",Maria Lopez,,,2,15.0,185.05,Paypal,India
2251,2024/12/09,John Doe,,,,20.0,10.42,,Germany
8842,2024/12/09,,Electronics,Laptop,Five,15.0,,Debit,
1007,,Wei Zhang,Vegetables,Tomato,3,15 USD,381.42,,China
3192,2024/12/09,Maria Lopez,Clothing,Shirt,2,15 USD,,Paypal,Germany
7386,2024/12/09,Ali Khan,Electronics,Laptop,Five,8,384.4,Paypal,Germany
0,2024/12/09,Maria Lopez,Fruits,Apple,2,20.0,246.45,CASH,U.S.A.
8873,"Dec 11, 2024",John Doe,Vegetables,Tomato,1,15.0,275.98,,United States
6656,12/11/2024,Wei Zhang,Electronics,Laptop,Five,10.5,427.9,,Germany
1435,2024/12/09,Maria Lopez,,,1,20.0,473.98,,China
6027,2024/12/09,Jane Smith,Electronics,Laptop,2,20.0,154.34,Debit,INDIA
1547,,,,,10,10.5,18.26,Debit,INDIA
9048,2024/12/09,,Clothing,Shirt,3,,269.21,,India
6150,"Dec 11, 2024",Jane Smith,Fruits,Banana,2,8,268.5,CASH,Germany
7408,12/11/2024,Jane Smith,Vegetables,Tomato,,8,90.7,Paypal,INDIA
6428,2024/12/09,John Doe,Vegetables,Tomato,Five,15.0,208.68,Cash,U.S.A.
1966,2024/12/09,Wei Zhang,Fruits,Apple,10,8,11.58,Cash,India
3904,2024-12-10,John Doe,Electronics,Laptop,10,8,79.84,Credit Card,
5252,12/11/2024,,Vegetables,Banana,,10.5,200.46,Credit Card,China
6132,2024/12/09,John Doe,,,1,15.0,305.7,,USA
6625,2024/12/09,,Vegetables,Tomato,,15 USD,229.98,Credit Card,
6441,"Dec 11, 2024",Wei Zhang,Electronics,Laptop,3,10.5,107.35,Credit Card,U.S.A.
9610,2024-12-10,Jane Smith,Vegetables,Tomato,10,10.5,183.17,Debit,U.S.A.
4160,"Dec 11, 2024",Maria Lopez,Household,Table,3,,,Paypal,INDIA
5877,"Dec 11, 2024",John Doe,Fruits,Apple,Five,,320.05,CASH,India
6595,"Dec 11, 2024",,Vegetables,Tomato,1,15.0,291.57,CASH,United States
7726,2024/12/09,John Doe,Vegetables,Banana,2,20.0,,CASH,China
3461,,Ali Khan,Vegetables,Tomato,2,20.0,130.78,Cash,China
1362,,Ali Khan,,,,15.0,292.55,Cash,Germany
6060,2024/12/09,Maria Lopez,,,,8,401.14,Cash,U.S.A.
8461,12/11/2024,Maria Lopez,Electronics,Laptop,1,8,491.63,Paypal,United States
1442,12/11/2024,John Doe,Vegetables,Tomato,3,20.0,474.93,Paypal,USA
8441,12/11/2024,Maria Lopez,Clothing,Shirt,,8,,Debit,U.S.A.
1431,,Maria Lopez,Clothing,Shirt,2,,276.38,Paypal,
7391,,Maria Lopez,Clothing,Shirt,3,15.0,,Debit,United States
4892,2024-12-10,,Clothing,Shirt,,20.0,138.05,,U.S.A.
9589,"Dec 11, 2024",John Doe,,,Five,,110.97,Credit Card,
5920,12/11/2024,Maria Lopez,Electronics,Laptop,10,10.5,59.93,,INDIA
7510,,Jane Smith,Vegetables,Tomato,2,15 USD,,Cash,USA
4208,2024-12-10,Jane Smith,Electronics,Laptop,10,10.5,133.44,Cash,India
2380,"Dec 11, 2024",,Clothing,Shirt,1,20.0,82.45,CASH,China
6174,2024-12-10,Maria Lopez,Vegetables,Tomato,1,15.0,393.9,Debit,U.S.A.
8507,2024-12-10,Ali Khan,Household,Table,2,,465.24,,USA
9589,"Dec 11, 2024",Ali Khan,Vegetables,Banana,1,8,221.18,CASH,U.S.A.
9904,12/11/2024,Wei Zhang,Vegetables,Tomato,3,20.0,,Paypal,
3960,"Dec 11, 2024",Wei Zhang,Household,Table,3,15 USD,157.57,Paypal,India
4471,,Maria Lopez,Vegetables,Tomato,1,15 USD,317.26,Cash,
8023,2024-12-10,Ali Khan,Clothing,Shirt,Five,20.0,17.57,Paypal,U.S.A.
7356,12/11/2024,John Doe,Electronics,Table,Five,8,222.07,CASH,
4971,,,Vegetables,Tomato,2,15 USD,233.64,Cash,India
